name,prepTime,Bestseller,FamilyFriendly,GlutenFree,LactoseFree,Vegan,Vegetarian,energy,calories,carbohydrate,protein,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,imagePath
"Harissa chicken on quinoa with green olives",False,False,False,False,False,False,False,2534,606,52.4,38.4,"Chicken","Quinoa","Green Olives","Olive Oil","Harissa",https://www.cookedandloved.com/wp-content/uploads/2020/05/chicken-harissa-honey-salad-quinoa-3-600x400.jpg
"Balsamic lentil salad with chicken breast",False,False,False,True,False,False,False,2273,543,26.1,41.6,"Lentils","Chicken Breast","Balsamic Vinegar","Olive Oil","Garlic", https://www.bitesofberi.com/wp-content/uploads/2021/01/balsamic-lentil-salad-1-1-768x1024.jpg
"Perlencouscous-salat with red beet and parsnip chips",False,True,False,False,False,True,True,3663,875,83.4,18,"Couscous","Red Beet","Parsnip","Cherry Tomatoes","Feta Cheese", https://www.thespicedchickpea.com/media/1713/img_9007.jpg
"Grilled Salmon with Lemon and Dill",False,False,False,False,False,False,False,1820,434,0,45.2,"Salmon","Lemon","Dill","Olive Oil","Garlic", https://www.thespruceeats.com/thmb/EpiRATC9GUlJ9qf-CeNw3bIVLpU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/grilled-salmon-dill-18-gt-56a8ba8f5f9b58b7d0f4a3f5.jpg
"Mango and Avocado Quinoa Salad",False,False,True,False,False,True,True,1789,427,60.5,11.3,"Quinoa","Mango","Avocado","Red Onion","Cilantro", https://www.cookingclassy.com/wp-content/uploads/2017/05/mango-black-bean-quinoa-salad-2.jpg
"Spicy Chickpea and Spinach Stew",False,False,False,False,False,True,True,2145,512,87.2,19.8,"Chickpeas","Spinach","Tomatoes","Onion","Garlic", https://cdn77-s3.lazycatkitchen.com/wp-content/uploads/2016/04/Spanish-chickpea-and-spinach-stew-in-a-pan-1000x1500.jpg
"Chicken and Broccoli Stir-Fry",False,False,True,False,False,False,False,1976,472,13.5,61.8,"Chicken","Broccoli","Soy Sauce","Ginger","Sesame Oil", https://www.dinneratthezoo.com/wp-content/uploads/2016/04/chicken-and-broccoli-stir-fry-6-2.jpg
"Eggplant Parmesan with Whole Wheat Pasta",False,False,False,False,False,False,True,2468,589,71.2,27.5,"Eggplant","Whole Wheat Pasta","Tomato Sauce","Mozzarella Cheese","Parmesan Cheese", https://cooknourishbliss.com/wp-content/uploads/2016/07/Eggplant_parmesan_pasta_skillet3.jpg
"Quinoa and Black Bean Bowl",False,False,False,True,False,False,True,1890,451,75.8,16.7,"Quinoa","Black Beans","Corn","Avocado","Salsa", https://www.bowlofdelicious.com/wp-content/uploads/2014/09/Quinoa-and-Black-Beans-square.jpg
"Thai Basil Tofu Stir-Fry",False,True,False,False,False,True,True,1632,390,42.3,26.5,"Tofu","Bell Peppers","Thai Basil","Soy Sauce","Garlic", https://drivemehungry.com/wp-content/uploads/2019/11/thai-basil-tofu-stir-fry-pad-krapow-gai-5.jpg
"Shrimp and Asparagus Stir-Fry",False,False,True,False,False,False,False,1687,403,9.2,52.6,"Shrimp","Asparagus","Soy Sauce","Ginger","Sesame Oil", https://whisperofyum.com/wp-content/uploads/2021/05/shrimp-and-asparagus-stir-fry.jpg
